RegionSet,Region,Metric,Weighting,Period,SlopePerDecade,SE,phi,pValue,nStar,StartFit,EndFit,nYears
GBD,"Caribbean",OSDMA8,area,1990-2022,-1.62279534852649,0.5051314959444,0.394028118904775,0.00131530368286281,14.6697806183811,35.3159187795387,30.1229736642539,33
GBD,"Caribbean",OSDMA8,pop,1990-2022,-1.41001268538595,0.606534945279908,0.337976315709315,0.0200879280578448,18.2005716285006,37.9164714232713,33.4044308300362,33
GBD,"Europe, Central",AnnualMean,area,1990-2022,-0.825478317416852,0.427875547404722,0.231521845296789,0.0537000025726198,20.6096692101924,36.2019842234511,33.5604536077172,33
GBD,"Europe, Central",AnnualMean,pop,1990-2022,-0.609214275099565,0.425789538524119,0.182658751135281,0.15249117663904,25.1543500366058,34.9870343478736,33.037548667555,33
GBD,"Europe, Central",OSDMA8,area,1990-2022,-1.53494386467988,0.530453110423718,0.190131420658826,0.00380796425248406,15.7289413010945,46.7342492267935,41.8224288598179,33
GBD,"Europe, Central",OSDMA8,pop,1990-2022,-1.26681491446081,0.545649675431963,0.154390995167895,0.0202510638285403,18.2164457713509,45.7655828469217,41.7117751206471,33
GBD,"Europe, Eastern",AnnualMean,area,1990-2022,0.716864643204003,0.339713952858528,0.0154217438322218,0.0348410666771652,19.4139529254149,30.2432975689333,32.5372644271862,33
GBD,"Europe, Eastern",AnnualMean,pop,1990-2022,-0.748283803942609,0.642652001384264,0.29780475025548,0.244274671444582,28.8582175031155,31.902265927094,29.5077577544777,33
GBD,"Europe, Eastern",OSDMA8,area,1990-2022,0.801749179716685,0.330266177852943,0.0205631382123205,0.015199729676379,17.6826305746546,35.9507673833275,38.5163647584208,33
GBD,"Europe, Eastern",OSDMA8,pop,1990-2022,-1.19295183379431,0.789870580383344,0.322723095668357,0.130963567106401,24.2634103097651,39.6855645148576,35.8681186467158,33
GBD,"Europe, Western",AnnualMean,area,1990-2022,0.258529580274619,0.23201803675113,0.277040724325212,0.26516551268753,29.7169450131857,35.3820468837499,36.2093415406287,33
GBD,"Europe, Western",AnnualMean,pop,1990-2022,0.652102912855709,0.255404709290704,0.123988190113692,0.0106733855049862,17.0977250965851,33.2488455120381,35.3355748331764,33
GBD,"Europe, Western",OSDMA8,area,1990-2022,-0.383685308177417,0.255019967304389,0.121079767222587,0.132444837022718,24.3255405806057,43.910432821883,42.6826398357152,33
GBD,"Europe, Western",OSDMA8,pop,1990-2022,-0.0429857323987393,0.307994038820301,0.0117647725969361,0.889002299287217,118.706675713427,43.2399714957892,43.1024171521133,33
GBD,"Latin America, Andean",AnnualMean,area,1990-2022,-0.946569835269799,0.681558271459416,0.51752570632075,0.164883887610577,25.6584279602074,26.2780666260634,23.2490431532,33
GBD,"Latin America, Andean",AnnualMean,pop,1990-2022,-0.967937881592849,0.57035828285287,0.511736172229434,0.089683443586197,22.4489827866055,27.6361188992256,24.5387176781285,33
GBD,"Latin America, Andean",OSDMA8,area,1990-2022,-1.53255357739354,0.686345055080196,0.446740502221691,0.0255542226419823,18.6959577619993,31.0597559618104,26.155584514151,33
GBD,"Latin America, Andean",OSDMA8,pop,1990-2022,-1.16078859161138,0.484463132171229,0.342626799471942,0.0165736970611926,17.8375371517336,31.0059779461562,27.2914544529997,33
GBD,"Latin America, Central",AnnualMean,area,1990-2022,-1.00477784869461,0.329306399685418,0.287583365621089,0.00227932932065666,15.1827311629644,32.0025049479489,28.7872158321262,33
GBD,"Latin America, Central",AnnualMean,pop,1990-2022,-0.465911717679127,0.287523952566237,0.203534752560577,0.105140477978151,23.1513731154404,33.3235299381596,31.8326124415864,33
GBD,"Latin America, Central",OSDMA8,area,1990-2022,-1.16873322691518,0.286539387819544,0.19699352366204,4.52712244998889e-05,12.5114923494409,35.8011436701532,32.0611973440246,33
GBD,"Latin America, Central",OSDMA8,pop,1990-2022,-0.635518190120708,0.259157329453742,0.00179080125844835,0.0141966555339601,17.5638679465489,37.217086239574,35.1834280311877,33
GBD,"Latin America, Southern",AnnualMean,area,1990-2022,-0.815738157885841,0.38911583749913,0.426070207430341,0.0360476982096399,19.4991303610369,27.6526661434922,25.0423040382575,33
GBD,"Latin America, Southern",AnnualMean,pop,1990-2022,-0.782063817130022,0.419946073439534,0.331085627235538,0.0625614043757202,21.1007249938141,29.2157867987541,26.713182583938,33
GBD,"Latin America, Southern",OSDMA8,area,1990-2022,-0.729735787784574,0.402607355494804,0.358740764396888,0.0699051565271858,21.485255832205,30.5249034293803,28.1897489084696,33
GBD,"Latin America, Southern",OSDMA8,pop,1990-2022,-0.529345993961645,0.502910757744146,0.373958570568239,0.292540649436364,30.8672083195679,32.265914586864,30.5720074061868,33
GBD,"Latin America, Tropical",AnnualMean,area,1990-2022,-0.455481038518985,0.634363448099403,0.480737120422556,0.472749430548424,39.8328813110139,26.8058125107973,25.3482731875366,33
GBD,"Latin America, Tropical",AnnualMean,pop,1990-2022,-0.201702847874237,0.558571920823623,0.344401236335029,0.718021311071091,62.9855901633843,28.947508497213,28.3020593840155,33
GBD,"Latin America, Tropical",OSDMA8,area,1990-2022,-0.663762566339879,0.633404590738144,0.355043865951076,0.294671664019881,30.9581825376903,30.5710651368918,28.4470249246042,33
GBD,"Latin America, Tropical",OSDMA8,pop,1990-2022,-0.156687302770992,0.523923348025916,0.307510812318329,0.764890208012232,71.4198809106326,31.6695871871306,31.1681878182634,33
GBD,"North Africa / Middle East",AnnualMean,area,1990-2022,1.4378726020468,1.21170338387177,0.720995919396515,0.235364147710825,28.4957722530591,36.1016453637241,40.7028376902739,33
GBD,"North Africa / Middle East",AnnualMean,pop,1990-2022,0.48758044510666,1.20791754307551,0.640614828074506,0.686467354814198,58.4777286634111,40.0261666915227,41.586424115864,33
GBD,"North Africa / Middle East",OSDMA8,area,1990-2022,0.599623794229807,0.872930068248439,0.583699242411639,0.492139877306203,41.026413503552,43.7894757146172,45.7082718561525,33
GBD,"North Africa / Middle East",OSDMA8,pop,1990-2022,-0.111616411741008,0.77803298030106,0.341546809153462,0.885927102413924,116.549332284089,48.2283712157285,47.8711986981573,33
GBD,"North America, High Income",AnnualMean,area,1990-2022,0.876056581215043,0.324619661909764,0.351429931042353,0.00696073530484618,16.4775105873996,32.4207930299329,35.224174089821,33
GBD,"North America, High Income",AnnualMean,pop,1990-2022,-0.198289085568957,0.219566990413912,0.253189458691431,0.366477327977838,34.1855036265941,39.2353095485781,38.6007844747574,33
GBD,"North America, High Income",OSDMA8,area,1990-2022,0.139559080621979,0.375882588243096,0.462752182620463,0.710426232279338,61.829048376479,39.2328217203234,39.6794107783138,33
