RegionSet,Region,Metric,Weighting,SlopePerDecade,pValue,StartVal,EndVal,nYears
GBD,"Australasia",MAM,area,-1.34076616598171,0.00966564190253341,26.5791520079292,26.2724992530957,33
GBD,"Australasia",MAM,pop,-0.826297002858019,0.016322031350919,26.4606594488819,24.186772108045,33
GBD,"Australasia",JJA,area,-2.265892386396,0.00340663194491886,27.5659451020719,28.0532480490437,33
GBD,"Australasia",JJA,pop,-1.81872899864244,0.000489856079044269,28.2993513119588,27.7576682151847,33
GBD,"Australasia",SON,area,-0.55099352816315,0.566446141766224,26.7803417595437,26.7844383891538,33
GBD,"Australasia",SON,pop,0.0510641380979154,0.96292509372887,26.9033135004115,25.365458479015,33
GBD,"Australasia",SeasonAmp,area,0.0582027231909472,0.840364419547018,2.86379600922283,3.91495167722978,33
GBD,"Australasia",SeasonAmp,pop,0.0508368228156963,0.938248014604613,5.32886343263425,7.6320750437764,33
GBD,"Caribbean",AnnualMean,area,-1.35364657877045,0.00120230701629991,31.1712500525193,28.6606009627811,33
GBD,"Caribbean",AnnualMean,pop,-1.19668164198399,0.0149899078872401,33.2986579237754,29.299294738527,33
GBD,"Caribbean",OSDMA8,area,-1.55401244608233,0.00077299581288899,33.9352660939781,30.5434402005579,33
GBD,"Caribbean",OSDMA8,pop,-1.41308874837726,0.00554568623017398,35.9086534786724,31.4511776103376,33
GBD,"Caribbean",DJF,area,-0.877957740995242,0.0698555329605745,29.8692425983605,32.7504753765338,33
GBD,"Caribbean",DJF,pop,-0.777711530593314,0.0912403235547255,30.8989685669996,33.833974734922,33
