ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
NAM,"Namibia",77,2491202.68566601,35.1095828925421,39.9510459560269,1.68794308076857,0.714367803393499,0.675324675324675
MDG,"Madagascar",76,27041008.8463829,28.5164144257109,33.1452562095567,1.65045464264842,1.16553879074883,0.565789473684211
MMR,"Myanmar",70,55748236.2273116,31.6920627026424,40.5548731676995,1.57989936175191,2.47383326528292,0.657142857142857
DEU,"Germany",162,82182064.9647894,33.2762662494164,43.2747582600168,1.54560075579821,0.854496349140487,0.660493827160494
PHL,"Philippines",82,105587243.481242,28.9322910132645,33.535353212173,1.52823181657943,2.19661293286041,0.195121951219512
NGA,"Nigeria",82,201667599.102551,36.8047219391874,40.8056002051565,1.44974799165666,1.41670035522038,0.804878048780488
COD,"Democratic Republic of the Congo",191,78678655.5478071,35.5583001257827,41.8365983068208,1.33607945964776,0.825441832751886,0.581151832460733
CAN,"Canada",1847,35972668.0759292,33.7952674726256,38.791238184133,1.30324968791591,0.503852142797793,0.850027070925826
FRA,"France",81,62596999.0695918,38.8347119786989,47.1743492189143,1.25637627673708,0.174611272638926,0.666666666666667
IRN,"Iran (Islamic Republic of)",168,82355776.1697319,39.6286373152806,48.5035937209788,1.24313390170339,1.43489426751881,0.0238095238095238
MEX,"Mexico",234,131024140.226188,37.7762192053167,41.9211816822431,1.20019338494073,1.17732413005728,0.641025641025641
MAR,"Morocco",50,33889626.3058859,39.9009630067818,42.9239862411384,1.16357638806506,-0.27257707396288,0.7
AGO,"Angola",111,29316715.597449,34.4206694923706,41.1476408607567,1.14869603609405,-0.337738671711996,0.18018018018018
MYS,"Malaysia",43,30013156.7772731,29.8970619198464,32.7742056734914,1.14043153001797,0.616704512473925,0.162790697674419
ISL,"Iceland",41,331168.104446953,31.9165229543732,35.4035959949115,1.10802035773299,0.750475348422563,0.317073170731707
TLS,"Timor-Leste",3,1524002.99448395,27.2409498570219,29.8787774579959,1.01738387572759,0.660033426120388,0.333333333333333
GNB,"Guinea-Bissau",5,2609075.96892309,32.9257082069885,37.6833161339343,0.998899732963841,0.938424411809329,0.6
EGY,"Egypt",109,100772405.075963,45.3462899899184,52.0590897097152,0.980151186006537,0.496902078943053,0.724770642201835
BGR,"Bulgaria",13,6370782.23458767,32.414268220906,40.5224604230022,0.952211194697824,-0.187456299174816,0.230769230769231
YEM,"Yemen",49,28899847.9499388,33.1804230780784,36.6985792839319,0.935414670160022,-0.331119391350373,0.0612244897959184
TGO,"Togo",5,5610188.73535156,34.2567806219686,38.3479906472027,0.909276511200652,0.698796392792115,0.4
GIN,"Guinea",23,13315756.9169846,32.9564187281455,38.4672730160012,0.907824366111246,0.900379060337351,0.782608695652174
TKM,"Turkmenistan",54,7994920.48288521,30.7404097270396,37.5235428006282,0.885657534294821,0.607971446455526,0.0185185185185185
IDN,"Indonesia",360,275800697.071998,28.7806397653055,31.7322299289191,0.839565133150297,0.549797433169519,0.230555555555556
JPN,"Japan",332,124708449.908472,38.5465838056591,44.7442312833334,0.809357370056597,0.15041481095307,0.349397590361446
BFA,"Burkina Faso",23,20912556.6347656,34.3256290461162,37.7041439946781,0.783432217689015,0.395079440333784,0.0869565217391304
ARM,"Armenia",5,4210536.15912837,30.7973178661971,36.8203160889351,0.729281825977403,0.665734176442789,0
JOR,"Jordan",8,7496421.55855942,40.6928280793685,48.2079477430639,0.728420037053623,-0.48465841602794,0
GHA,"Ghana",22,32331206.3710861,32.3942246607671,35.9590055940928,0.689179128526126,0.702386582693076,0.454545454545455
PYF,"French Polynesia",27,266627.612119399,25.2727061842385,27.9211456590389,0.677150446676493,-0.273709173413,0.0740740740740741
CHE,"Switzerland",13,11384405.6422138,37.6017631910197,48.7775665927238,0.675414923492888,-0.512038664626788,0.230769230769231
ESP,"Spain",84,48261286.0267885,39.0563509266987,45.9082856145959,0.668954621061547,0.191722497764308,0.571428571428571
KAZ,"Kazakhstan",332,20138154.3107499,31.6936482920662,39.0303290572005,0.648357764132554,1.09006053285026,0.159638554216867
MLT,"Malta",1,422058.456298828,47.1748894439151,52.057204806532,0.61084591413845,-0.770704336151869,0
ISR,"Israel",3,1596185.96233564,40.6192615041201,47.789097814741,0.600499413218946,-0.731751766329935,0.333333333333333
PCN,"Pitcairn Island",3,165.663569927216,26.7617816116213,29.7632899449437,0.585242211434772,-0.187567059340064,0
SEN,"Senegal",21,18968226.7005272,32.7534303189534,36.3993918858243,0.583256543610669,-0.0697984975135407,0.857142857142857
GRC,"Greece",42,11624260.6798287,38.532675847297,47.0402997352758,0.569258490383973,-0.28495987392891,0.142857142857143
ESH,"Western Sahara",28,641930.239112568,36.2590334534631,39.0520610664611,0.567192935725567,-0.179392296026628,0.75
SLE,"Sierra Leone",8,7135983.3551178,32.022388854924,37.4109836457682,0.560402331721597,0.761654221821812,0.25
BEN,"Benin",10,10806459.8535767,34.2835134968544,37.8435375923071,0.559628217325747,0.272892867321139,0.9
GBR,"United Kingdom of Great Britain and Northern Ireland",82,66250938.5062133,31.3664973744379,36.029868343687,0.52564061460528,-0.413020885812576,0.451219512195122
TON,"Tonga",6,105386.499483109,26.1386306349819,28.7036877881715,0.495945745451842,-0.512025036953232,0
LUX,"Luxembourg",1,435555.137207031,35.2474238451033,42.9297222215075,0.478443888521838,-0.440692234833945,0
GAB,"Gabon",25,2049738.27365685,29.7443024233567,32.6891917580421,0.454108578135533,-0.520422528517861,0.48
COK,"Cook Islands",11,20645.6106987,25.8795470598447,28.6286522058178,0.449041374087292,-0.342314861560704,0
OMN,"Oman",39,4998814.86063635,36.8662899523315,41.7837762751603,0.445167089218214,0.446424815183162,0.102564102564103
NIU,"Niue",1,1617.6852273941,25.2943044373717,27.979600970688,0.439612924347147,-0.220733731693077,0
FRO,"Faroe Islands",3,48142.4396204948,36.1206591075425,39.8000355124353,0.429895924747814,0.172539297655909,0
ALB,"Albania",5,2931720.88905907,33.9504223078705,41.221889428409,0.3382856129221,-0.447242699262912,0
MKD,"The former Yugoslav Republic of Macedonia",3,2922488.90924072,30.9060008337899,39.1715574875613,0.297522708186355,-0.365698913208398,0
REU,"Réunion",2,885658.13042593,31.4146019385309,37.8256938812042,0.290459969815484,-0.033887852026298,0
CZE,"Czech Republic",10,9237489.04251862,35.973134677349,45.8643286566289,0.289657206378055,-0.64771270594138,0.1
LBR,"Liberia",12,5796499.64039993,30.0106058341657,33.7968984404935,0.279472013573458,0.36261941966403,0.25
GNQ,"Equatorial Guinea",8,967556.808973908,28.5894632532347,30.8395554684382,0.265336572033449,-0.886982393837311,0.5
TKL,"Tokelau",2,567.307434082031,20.981154453101,22.7580170038985,0.262329531215196,-0.484735418461875,0
